English,Latin
Without a doubt.,Certum est.
Yes - definitely.,Ita sane.
You may rely on it.,Sine dubio.
"As I see it, yes.",Certissimum.
Most likely.,Credere licet.
Outlook good.,"Sic est, ut videtur."
Yes.,Probabiliter.
Signs point to yes.,Annuit deus.
"Reply hazy, try again.",Sic est.
Ask again later.,Avibus bonis ito.
Better not tell you now.,Clarum non est; iterum quaere.
Cannot predict now.,Exspecta paululum; iterum quaere.
Concentrate and ask again.,Silere debeo.
Don't count on it.,Futurum patefacere non licet.
My reply is no.,Mentem compesce et quaere iterum.
My sources say no.,Credendum non est.
Outlook not so good.,Nego.
Very doubtful.,Auspicium infaustum est.
